gender,age,Investment_Avenues,Mutual_Funds,Equity_Market,Debentures,Government_Bonds,Fixed_Deposits,PPF,Gold,Stock_Marktet,Factor,Objective,Purpose,Duration,Invest_Monitor,Expect,Avenue,What are your savings objectives?,Reason_Equity,Reason_Mutual,Reason_Bonds,Reason_FD,Source,Is_Outlier_LOF
Female,27,Yes,38.91517435,3,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,30%-40%,Fixed Deposits,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Unknown,FALSE
Male,26.6,Yes,4,5,1,2,7,3,6,No,Returns,Unknown,Wealth Creation,1-3 years,Weekly,20%-30%,Unknown,Education,capital appreciation_err,Tax Benefits,Safe Investment,Fixed Returns,Television,FALSE
Female,22,Yes,2,46.38680213,7,5,4,1,6,yes_err,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,10%-20%,equity_err,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Male,22,Yes,2,3,7,4,6,1,5,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Daily,20%-30%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Female,29,Yes,2,3,7,4,5,1,6,Yes,Returns,Unknown,Wealth Creation,More than 5 years,Weekly,30%-40%,Mutual Fund,Retirement Plan,Capital Appreciation,Unknown,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,30,Unknown,3,4,6,5,2,1,7,Yes,nan_err,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
male_err,27,Unknown,4,3,5,7,2,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Monthly,10%-20%,Equity,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Male,27,Yes,2,4,7,5,3,1,6,Yes,Returns,Growth,Wealth Creation,Less than 1 year,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Male,27,Yes,2,3,7,5,4,1,6,Yes,nan_err,Capital Appreciation,Wealth Creation,More than 5 years,Monthly,10%-20%,Mutual Fund,Unknown,Unknown,Fund Diversification,Assured Returns,Unknown,Newspapers and Magazines,FALSE
Male,30,yes_err,3,2,7,4,5,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Male,23,Yes,2,4,6,5,3,1,7,Yes,Risk,Growth,Savings for Future,Less than 1 year,Monthly,30%-40%,Mutual Fund,Health Care,Unknown,better returns_err,assured returns_err,Risk Free,Financial Consultants,FALSE
Female,30,Yes,3,4,7,5,1,2,6,Yes,Risk,Growth,Wealth Creation,1-3 years,Weekly,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Female,26,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,30,Yes,2,3,6,5,1,4,7,Yes,Returns,Capital Appreciation,Wealth Creation,3-5 years,Daily,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,risk free_err,Television,FALSE
Female,22,Yes,2,3,7,5,4,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Weekly,20%-30%,Equity,Health Care,Dividend,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Female,34,Yes,1,2,5,3,7,6,4,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Newspapers and Magazines,FALSE
Female,30,Yes,3,6,4,2,45.92673072,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,30%-40%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,High Interest Rates,Financial Consultants,FALSE
Male,32.4,Yes,2,4,7,69.93907057,3,1,6,Yes,Returns,Growth,Savings for Future,1-3 years_err,Weekly,30%-40%_err,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,FALSE
Male,25,Yes,2,4,6,5,3,1,7,Yes,Risk,Growth,Savings for Future,Less than 1 year,Monthly,10%-20%,Fixed Deposits,Health Care,Unknown,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Female,34,Yes,1,2,33.77904611,3,45.92673072,6,5.4,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,30%-40%,Public Provident Fund,Unknown,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Newspapers and Magazines,FALSE
Male,24,Yes,2,3,7,4,45.92673072,1,5,Unknown,Risk,Capital Appreciation,Wealth Creation,1-3 years,Monthly,20%-30%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,28,Yes,2,4,6,4.4,2.8,3.397150807,7,Yes,Risk,Growth,Savings for Future,Less than 1 year,Weekly,20%-30%,Public Provident Fund,Health Care,Liquidity,Better Returns,Unknown,Risk Free,Financial Consultants,FALSE
Unknown,38,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,Savings for Future,More than 5 years,Weekly,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Female,26,Unknown,3,2,7,69.93907057,4,3.397150807,6,Yes,Risk,Growth,Unknown,Less than 1 year,Weekly,10%-20%,Mutual Fund,Health Care,Capital Appreciation,fund diversification_err,Assured Returns,Risk Free,Television,FALSE
Male,24,Yes,2,3,7,4,6,1,5,Yes,Risk,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,10%-20%,Equity,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,26,Yes,2,3,6,5,4,1,7,Yes,Returns,Capital Appreciation,Unknown,3-5 years,Daily,20%-30%,Mutual Fund,Health Care,capital appreciation_err,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Male,27,Yes,2,3,6,5,4,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,Unknown,daily_err,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,financial consultants_err,FALSE
Male,24,Yes,2,4,7,17.98781411,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Unknown,20%-30%_err,Fixed Deposits,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Female,25,No,2,1,3,6,4,5,7,No,Returns,Income,Wealth Creation,1-3 years,Weekly,10%-20%,Mutual Fund,Unknown,Capital Appreciation,Unknown,Safe Investment,Risk Free,nan_err,FALSE
Male,28,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,Wealth Creation,1-3 years,Weekly,10%-20%,Public Provident Fund,Health Care,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Male,33,Yes,2,3,33.77904611,6,4,1,5,Yes,Risk,Growth,Savings for Future,More than 5 years,Monthly,20%-30%,Equity,health care_err,Capital Appreciation,Unknown,Safe Investment,Fixed Returns,Television,FALSE
Female,25,Unknown,3,6,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Monthly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,assured returns_err,High Interest Rates,Financial Consultants,FALSE
Male,36,Yes,2,4,7,5,3,1,6,Yes,Unknown,Growth,Savings for Future,1-3 years_err,Monthly,30%-40%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television,FALSE
Male,22,Yes,2,3,7,4,6,1,5,Yes,Risk,Capital Appreciation,Wealth Creation,Unknown,Daily,20%-30%,Mutual Fund,retirement plan_err,Capital Appreciation,Better Returns,Assured Returns,Risk Free,newspapers and magazines_err,FALSE
Male,30,Yes,2,5,7,6,11.58534614,1,4,Yes,Risk,Capital Appreciation,Wealth Creation,3-5 years,Weekly,10%-20%,Equity,Retirement Plan,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Male,25,Yes,2,3,6,4,45.92673072,5,7,Unknown,returns_err,Capital Appreciation,Returns,1-3 years,Daily,10%-20%,Unknown,Education,Dividend,Better Returns,Safe Investment,Unknown,Newspapers and Magazines,FALSE
Male,29,Yes,38.91517435,4,7,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,1-3 years,Daily,10%-20%,Mutual Fund,Health Care,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines,FALSE
Unknown,30,Unknown,3,4,6,5,2,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,10%-20%,Fixed Deposits,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Male,25,Yes,2,4,6,5,3,1,7,Yes,Risk,Growth,Savings for Future,3-5 years,Unknown,10%-20%,Public Provident Fund,Health Care,Liquidity,Better Returns,Assured Returns,Risk Free,Financial Consultants,FALSE
Male,29,Yes,2,4,7,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,10%-20%,Public Provident Fund,Retirement Plan,Capital Appreciation,better returns_err,Assured Returns,Unknown,Newspapers and Magazines,FALSE
Male,30,Yes,2,3,6,5,4,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,10%-20%,fixed deposits_err,Unknown,Unknown,Unknown,Unknown,Fixed Returns,Financial Consultants,FALSE
Male,32,Yes,4,3,5,7,2,1,6,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Monthly,Unknown,Fixed Deposits,Retirement Plan,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Female,22,Yes,2,4,5,6,3,1,7,Yes,Risk,Capital Appreciation,Wealth Creation,1-3 years,Daily,20%-30%,Public Provident Fund,Health Care,Capital Appreciation,Better Returns,Assured Returns,Unknown,Newspapers and Magazines,FALSE
Male,28,Yes,3,4,6,5,1,2,7,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Daily,10%-20%,Mutual Fund,Retirement Plan,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants,FALSE
Male,28,Yes,2,3,6,5,4,1,7,Yes,Returns,Capital Appreciation,Unknown,1-3 years,Monthly,20%-30%,Fixed Deposits,Health Care,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Female,31,Yes,1,2,5,3,7,6,4,Yes,Returns,Unknown,Wealth Creation,Less than 1 year,Weekly,10%-20%,Equity,Retirement Plan,Capital Appreciation,better returns_err,Safe Investment,Fixed Returns,Newspapers and Magazines,FALSE
Male,25,Yes,2,3.6,6,5,45.92673072,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Weekly,30%-40%,Fixed Deposits,Health Care,Unknown,Better Returns,Safe Investment,Fixed Returns,Financial Consultants,FALSE
Male,30,Yes,2,4,7,5,1,3,6,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Unknown,10%-20%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Unknown,26,Yes,2,3,7,4,5,1,6,Unknown,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Daily,10%-20%,Equity,Unknown,Capital Appreciation,Fund Diversification,Assured Returns,Risk Free,Newspapers and Magazines,FALSE
Male,32,yes_err,3,46.38680213,4,2,5,1,7,Yes,Returns,Capital Appreciation,Wealth Creation,More than 5 years,Monthly,10%-20%,Unknown,Retirement Plan,Capital Appreciation,Tax Benefits,Assured Returns,Fixed Returns,Television,FALSE
Female,37,Yes,1,2,5,3,7,6,4,Yes,Returns,Capital Appreciation,Wealth Creation,Less than 1 year,Unknown,20%-30%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Unknown,Newspapers and Magazines,FALSE
Female,26,No,2,1,3,6,4,5,7,No,Returns,Income,Wealth Creation,More than 5 years,Monthly,30%-40%,Mutual Fund,Retirement Plan,Capital Appreciation,Better Returns,Safe Investment,Risk Free,Internet,FALSE
Female,30,Yes,3,4,33.77904611,5,1,2,6,Yes,Risk,Growth,Wealth Creation,1-3 years,Weekly,30%-40%,Public Provident Fund,Retirement Plan,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants,FALSE
