Age,Gender,Education Level,Job Title,Years of Experience,Salary,Age Group,Experience Band
38.0,Female,Master's,Digital Marketing Manager,10.0,90000.0,35-44,10-14 yrs
46.0,Male,Bachelor's,It Manager,19.0,120000.0,45-54,15-19 yrs
31.0,Female,Bachelor's,Customer Service Representative,5.0,45000.0,25-34,5-9 yrs
34.0,Male,Master's,Business Development Manager,8.0,90000.0,25-34,5-9 yrs
49.0,Female,Master's,Senior Financial Analyst,18.0,150000.0,45-54,15-19 yrs
33.0,Male,Bachelor's,Web Developer,6.0,65000.0,25-34,5-9 yrs
39.0,Female,Bachelor's,Recruiter,11.0,70000.0,35-44,10-14 yrs
45.0,Male,Phd,Research Director,16.0,190000.0,45-54,15-19 yrs
28.0,Male,Bachelor's,Technical Support Specialist,2.0,40000.0,25-34,2-4 yrs
42.0,Female,Master's,Creative Director,14.0,120000.0,35-44,10-14 yrs
37.0,Male,Bachelor's,Project Manager,10.0,95000.0,35-44,10-14 yrs
50.0,Female,Bachelor's,Operations Manager,22.0,160000.0,45-54,20+ yrs
32.0,Male,Master's,Senior Software Engineer,6.0,100000.0,25-34,5-9 yrs
48.0,Female,Master's,Human Resources Director,20.0,180000.0,45-54,20+ yrs
30.0,Female,Bachelor's,Content Marketing Manager,3.0,55000.0,25-34,2-4 yrs
36.0,Male,Bachelor's,Technical Recruiter,8.0,70000.0,35-44,5-9 yrs
41.0,Female,Master's,Data Analyst,13.0,80000.0,35-44,10-14 yrs
25.0,Male,Bachelor's,Sales Representative,0.0,30000.0,25-34,0-1 yrs
52.0,Male,Phd,Chief Technology Officer,24.0,250000.0,45-54,20+ yrs
29.0,Female,Bachelor's,Junior Designer,2.0,40000.0,25-34,2-4 yrs
34.0,Female,Master's,Financial Advisor,10.0,95000.0,25-34,10-14 yrs
27.0,Male,Bachelor's,Junior Account Manager,2.0,45000.0,25-34,2-4 yrs
40.0,Female,Bachelor's,Hr Generalist,15.0,80000.0,35-44,15-19 yrs
46.0,Male,Master's,Senior Project Manager,21.0,135000.0,45-54,20+ yrs
31.0,Female,Bachelor's,Marketing Coordinator,6.0,55000.0,25-34,5-9 yrs
36.0,Male,Phd,Principal Scientist,11.0,120000.0,35-44,10-14 yrs
29.0,Female,Bachelor's,Sales Associate,3.0,40000.0,25-34,2-4 yrs
43.0,Male,Bachelor's,Supply Chain Manager,18.0,105000.0,35-44,15-19 yrs
52.0,Female,Master's,Senior Marketing Manager,25.0,170000.0,45-54,20+ yrs
33.0,Male,Bachelor's,Business Analyst,7.0,75000.0,25-34,5-9 yrs
39.0,Female,Bachelor's,Training Specialist,12.0,65000.0,35-44,10-14 yrs
47.0,Male,Phd,Research Scientist,22.0,160000.0,45-54,20+ yrs
26.0,Male,Bachelor's,Junior Software Developer,1.0,35000.0,25-34,0-1 yrs
38.0,Female,Master's,Public Relations Manager,10.0,90000.0,35-44,10-14 yrs
45.0,Male,Bachelor's,Operations Analyst,20.0,110000.0,45-54,20+ yrs
31.0,Female,Bachelor's,Event Coordinator,5.0,45000.0,25-34,5-9 yrs
35.0,Male,Master's,Product Marketing Manager,8.0,95000.0,35-44,5-9 yrs
49.0,Female,Master's,Senior Hr Manager,19.0,150000.0,45-54,15-19 yrs
33.0,Male,Bachelor's,Junior Web Developer,5.0,50000.0,25-34,5-9 yrs
39.0,Female,Master's,Senior Project Coordinator,13.0,80000.0,35-44,10-14 yrs
44.0,Male,Phd,Chief Data Officer,16.0,220000.0,35-44,15-19 yrs
30.0,Female,Bachelor's,Digital Content Producer,3.0,50000.0,25-34,2-4 yrs
36.0,Male,Bachelor's,It Support Specialist,7.0,60000.0,35-44,5-9 yrs
41.0,Female,Master's,Senior Marketing Analyst,14.0,100000.0,35-44,10-14 yrs
28.0,Male,Bachelor's,Customer Success Manager,2.0,40000.0,25-34,2-4 yrs
42.0,Female,Master's,Senior Graphic Designer,15.0,110000.0,35-44,15-19 yrs
37.0,Male,Bachelor's,Software Project Manager,9.0,95000.0,35-44,5-9 yrs
50.0,Female,Bachelor's,Supply Chain Analyst,22.0,130000.0,45-54,20+ yrs
32.0,Male,Master's,Senior Business Analyst,6.0,90000.0,25-34,5-9 yrs
23.0,Female,Bachelor's,Junior Marketing Analyst,0.5,35000.0,18-24,0-1 yrs
31.0,Male,Master's,Senior Financial Analyst,6.0,95000.0,25-34,5-9 yrs
40.0,Female,Bachelor's,Office Manager,15.0,65000.0,35-44,15-19 yrs
48.0,Male,Phd,Principal Engineer,20.0,170000.0,45-54,20+ yrs
29.0,Female,Bachelor's,Junior Hr Generalist,3.0,45000.0,25-34,2-4 yrs
35.0,Male,Master's,Senior Product Manager,10.0,120000.0,35-44,10-14 yrs
42.0,Female,Bachelor's,Sales Manager,17.0,100000.0,35-44,15-19 yrs
53.0,Male,Master's,Director Of Marketing,25.0,180000.0,45-54,20+ yrs
33.0,Female,Bachelor's,Junior Operations Analyst,5.0,50000.0,25-34,5-9 yrs
38.0,Male,Bachelor's,Customer Service Manager,11.0,80000.0,35-44,10-14 yrs
44.0,Female,Phd,Senior Scientist,16.0,140000.0,35-44,15-19 yrs
26.0,Male,Bachelor's,Junior Accountant,2.0,40000.0,25-34,2-4 yrs
37.0,Female,Master's,Senior Hr Generalist,9.0,95000.0,35-44,5-9 yrs
45.0,Male,Bachelor's,Sales Operations Manager,18.0,110000.0,45-54,15-19 yrs
32.0,Female,Bachelor's,Marketing Coordinator,4.0,50000.0,25-34,2-4 yrs
34.0,Male,Master's,Senior Software Developer,8.0,105000.0,25-34,5-9 yrs
50.0,Female,Master's,Director Of Operations,21.0,160000.0,45-54,20+ yrs
29.0,Male,Bachelor's,Junior Web Designer,3.0,45000.0,25-34,2-4 yrs
40.0,Female,Master's,Senior Training Specialist,12.0,100000.0,35-44,10-14 yrs
47.0,Male,Phd,Senior Research Scientist,22.0,160000.0,45-54,20+ yrs
27.0,Male,Bachelor's,Junior Sales Representative,1.0,35000.0,25-34,0-1 yrs
39.0,Female,Bachelor's,Administrative Assistant,10.0,55000.0,35-44,10-14 yrs
46.0,Male,Master's,Senior Project Manager,19.0,140000.0,45-54,15-19 yrs
30.0,Female,Bachelor's,Junior Marketing Manager,4.0,50000.0,25-34,2-4 yrs
36.0,Male,Bachelor's,Junior Data Analyst,7.0,60000.0,35-44,5-9 yrs
43.0,Female,Master's,Senior Product Marketing Manager,14.0,120000.0,35-44,10-14 yrs
28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,25-34,2-4 yrs
41.0,Female,Master's,Senior Marketing Manager,13.0,110000.0,35-44,10-14 yrs
33.0,Male,Bachelor's,Junior Software Developer,5.0,50000.0,25-34,5-9 yrs
47.0,Male,Bachelor's,Senior Sales Manager,20.0,135000.0,45-54,20+ yrs
25.0,Female,Master's,Junior Marketing Specialist,1.5,40000.0,25-34,0-1 yrs
34.0,Male,Bachelor's,Senior Business Analyst,8.0,90000.0,25-34,5-9 yrs
42.0,Female,Phd,Senior Data Scientist,16.0,150000.0,35-44,15-19 yrs
31.0,Male,Bachelor's,Junior Project Manager,4.0,60000.0,25-34,2-4 yrs
38.0,Female,Bachelor's,Senior Accountant,10.0,80000.0,35-44,10-14 yrs
45.0,Male,Master's,Director Of Sales,19.0,175000.0,45-54,15-19 yrs
29.0,Female,Bachelor's,Junior Recruiter,3.0,45000.0,25-34,2-4 yrs
36.0,Male,Master's,Senior Business Development Manager,11.0,120000.0,35-44,10-14 yrs
43.0,Female,Phd,Senior Product Designer,18.0,140000.0,35-44,15-19 yrs
26.0,Male,Bachelor's,Junior Customer Support Specialist,2.0,35000.0,25-34,2-4 yrs
37.0,Female,Master's,Senior Marketing Analyst,9.0,95000.0,35-44,5-9 yrs
44.0,Male,Bachelor's,Senior It Support Specialist,14.0,110000.0,35-44,10-14 yrs
32.0,Female,Bachelor's,Junior Financial Analyst,5.0,50000.0,25-34,5-9 yrs
33.0,Male,Master's,Senior Operations Manager,7.0,115000.0,25-34,5-9 yrs
51.0,Female,Phd,Director Of Human Resources,23.0,185000.0,45-54,20+ yrs
28.0,Male,Bachelor's,Junior Software Engineer,2.0,40000.0,25-34,2-4 yrs
39.0,Female,Bachelor's,Senior Sales Representative,12.0,90000.0,35-44,10-14 yrs
48.0,Male,Master's,Director Of Product Management,21.0,175000.0,45-54,20+ yrs
30.0,Female,Bachelor's,Junior Copywriter,3.0,45000.0,25-34,2-4 yrs
35.0,Male,Bachelor's,Senior Marketing Coordinator,7.0,80000.0,35-44,5-9 yrs
41.0,Female,Master's,Senior Human Resources Manager,13.0,120000.0,35-44,10-14 yrs
27.0,Male,Bachelor's,Junior Business Development Associate,1.5,35000.0,25-34,0-1 yrs
40.0,Female,Bachelor's,Senior Account Manager,14.0,110000.0,35-44,10-14 yrs
46.0,Male,Phd,Senior Researcher,18.0,150000.0,45-54,15-19 yrs
31.0,Female,Bachelor's,Junior Hr Coordinator,4.0,50000.0,25-34,2-4 yrs
34.0,Male,Master's,Senior Software Engineer,9.0,105000.0,25-34,5-9 yrs
50.0,Female,Master's,Director Of Finance,20.0,180000.0,45-54,20+ yrs
29.0,Male,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,25-34,2-4 yrs
24.0,Nan,Bachelor's,Junior Hr Coordinator,1.0,35000.0,18-24,0-1 yrs
43.0,Male,Bachelor's,Senior Project Manager,16.0,140000.0,35-44,15-19 yrs
26.0,Female,Master's,Junior Data Scientist,1.5,45000.0,25-34,0-1 yrs
35.0,Male,Bachelor's,Senior Operations Analyst,7.0,85000.0,35-44,5-9 yrs
42.0,Female,Phd,Senior Marketing Manager,18.0,140000.0,35-44,15-19 yrs
31.0,Male,Bachelor's,Junior Accountant,4.0,50000.0,25-34,2-4 yrs
38.0,Female,Bachelor's,Senior Human Resources Coordinator,10.0,80000.0,35-44,10-14 yrs
46.0,Male,Master's,Director Of Operations,20.0,170000.0,45-54,20+ yrs
29.0,Female,Bachelor's,Junior Sales Representative,2.0,40000.0,25-34,2-4 yrs
37.0,Male,Master's,Senior Business Analyst,9.0,105000.0,35-44,5-9 yrs
44.0,Female,Phd,Senior Ux Designer,15.0,145000.0,35-44,15-19 yrs
27.0,Male,Bachelor's,Junior Product Manager,2.0,40000.0,25-34,2-4 yrs
36.0,Female,Bachelor's,Senior Marketing Specialist,8.0,85000.0,35-44,5-9 yrs
43.0,Male,Bachelor's,Senior It Project Manager,14.0,130000.0,35-44,10-14 yrs
33.0,Female,Master's,Senior Financial Analyst,6.0,95000.0,25-34,5-9 yrs
34.0,Male,Bachelor's,Senior Quality Assurance Analyst,9.0,100000.0,25-34,5-9 yrs
50.0,Female,Phd,Director Of Sales And Marketing,22.0,180000.0,45-54,20+ yrs
28.0,Male,Bachelor's,Junior Operations Analyst,1.5,35000.0,25-34,0-1 yrs
39.0,Female,Bachelor's,Senior Account Executive,12.0,95000.0,35-44,10-14 yrs
47.0,Male,Master's,Director Of Business Development,19.0,170000.0,45-54,15-19 yrs
30.0,Female,Bachelor's,Junior Social Media Manager,3.0,45000.0,25-34,2-4 yrs
34.0,Male,Bachelor's,Senior Product Manager,7.0,95000.0,25-34,5-9 yrs
40.0,Female,Master's,Senior Human Resources Specialist,13.0,120000.0,35-44,10-14 yrs
41.0,Female,Bachelor's,Senior Marketing Coordinator,11.0,90000.0,35-44,10-14 yrs
45.0,Male,Phd,Senior Data Analyst,17.0,155000.0,45-54,15-19 yrs
32.0,Female,Bachelor's,Junior Account Manager,5.0,55000.0,25-34,5-9 yrs
35.0,Male,Master's,Senior Software Developer,9.0,110000.0,35-44,5-9 yrs
49.0,Female,Master's,Director Of Human Capital,21.0,180000.0,45-54,20+ yrs
30.0,Male,Bachelor's,Junior Advertising Coordinator,3.0,45000.0,25-34,2-4 yrs
44.0,Male,Bachelor's,Senior Sales Manager,16.0,130000.0,35-44,15-19 yrs
27.0,Female,Master's,Junior Ux Designer,1.5,45000.0,25-34,0-1 yrs
36.0,Male,Bachelor's,Senior Accountant,7.0,90000.0,35-44,5-9 yrs
41.0,Female,Phd,Senior Marketing Director,17.0,160000.0,35-44,15-19 yrs
31.0,Male,Bachelor's,Junior Hr Generalist,4.0,50000.0,25-34,2-4 yrs
39.0,Female,Bachelor's,Senior Operations Manager,10.0,120000.0,35-44,10-14 yrs
47.0,Male,Master's,Director Of Finance,20.0,170000.0,45-54,20+ yrs
30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,25-34,2-4 yrs
38.0,Male,Master's,Senior It Consultant,9.0,110000.0,35-44,5-9 yrs
45.0,Female,Phd,Senior Product Designer,15.0,150000.0,45-54,15-19 yrs
28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0,25-34,2-4 yrs
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,35-44,5-9 yrs
44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0,35-44,10-14 yrs
34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0,25-34,5-9 yrs
35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0,35-44,5-9 yrs
50.0,Female,Phd,Director Of Operations,22.0,180000.0,45-54,20+ yrs
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000.0,25-34,0-1 yrs
40.0,Female,Bachelor's,Senior Sales Representative,12.0,100000.0,35-44,10-14 yrs
48.0,Male,Master's,Director Of Marketing,19.0,170000.0,45-54,15-19 yrs
31.0,Female,Bachelor's,Junior Social Media Specialist,3.0,45000.0,25-34,2-4 yrs
33.0,Male,Bachelor's,Senior Product Development Manager,7.0,100000.0,25-34,5-9 yrs
42.0,Female,Master's,Senior Human Resources Manager,13.0,140000.0,35-44,10-14 yrs
28.0,Male,Bachelor's,Junior Financial Analyst,2.0,40000.0,25-34,2-4 yrs
40.0,Female,Bachelor's,Senior Marketing Manager,11.0,105000.0,35-44,10-14 yrs
46.0,Male,Phd,Senior Data Scientist,18.0,160000.0,45-54,15-19 yrs
33.0,Female,Bachelor's,Junior Operations Manager,5.0,70000.0,25-34,5-9 yrs
37.0,Male,Master's,Senior Software Architect,9.0,120000.0,35-44,5-9 yrs
51.0,Female,Master's,Director Of Human Resources,21.0,190000.0,45-54,20+ yrs
30.0,Male,Bachelor's,Junior Marketing Specialist,3.0,45000.0,25-34,2-4 yrs
43.0,Male,Bachelor's,Senior Project Manager,15.0,120000.0,35-44,15-19 yrs
27.0,Female,Master's,Junior Research Scientist,1.5,50000.0,25-34,0-1 yrs
35.0,Male,Bachelor's,Senior Operations Analyst,8.0,85000.0,35-44,5-9 yrs
42.0,Female,Phd,Senior Marketing Manager,13.0,140000.0,35-44,10-14 yrs
32.0,Male,Bachelor's,Junior Sales Representative,3.0,45000.0,25-34,2-4 yrs
37.0,Female,Bachelor's,Senior Financial Analyst,9.0,100000.0,35-44,5-9 yrs
45.0,Male,Master's,Senior Software Developer,16.0,140000.0,45-54,15-19 yrs
33.0,Female,Bachelor's,Junior Operations Analyst,5.0,70000.0,25-34,5-9 yrs
39.0,Male,Bachelor's,Senior Marketing Specialist,10.0,120000.0,35-44,10-14 yrs
44.0,Female,Phd,Senior Hr Manager,18.0,160000.0,35-44,15-19 yrs
29.0,Male,Bachelor's,Junior Business Analyst,1.5,40000.0,25-34,0-1 yrs
38.0,Female,Bachelor's,Senior Product Manager,10.0,120000.0,35-44,10-14 yrs
46.0,Male,Phd,Senior Data Analyst,19.0,150000.0,45-54,15-19 yrs
34.0,Female,Bachelor's,Junior Marketing Analyst,6.0,70000.0,25-34,5-9 yrs
36.0,Male,Bachelor's,Senior Operations Manager,8.0,95000.0,35-44,5-9 yrs
49.0,Female,Master's,Director Of Marketing,21.0,180000.0,45-54,20+ yrs
31.0,Male,Bachelor's,Junior Financial Analyst,3.0,50000.0,25-34,2-4 yrs
41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0,35-44,10-14 yrs
47.0,Male,Master's,Director Of Operations,20.0,170000.0,45-54,20+ yrs
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,350.0,25-34,0-1 yrs
32.0,Nan,Nan,Nan,7.0,115000.0,25-34,5-9 yrs
37.0,Female,Bachelor's,Senior Financial Manager,10.0,120000.0,35-44,10-14 yrs
31.0,Female,Bachelor's,Junior Marketing Coordinator,3.0,50000.0,25-34,2-4 yrs
42.0,Male,Bachelor's,Senior Operations Manager,12.0,110000.0,35-44,10-14 yrs
29.0,Female,Bachelor's,Junior Sales Representative,1.5,40000.0,25-34,0-1 yrs
36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0,35-44,5-9 yrs
44.0,Female,Master's,Senior Hr Specialist,15.0,140000.0,35-44,15-19 yrs
33.0,Male,Bachelor's,Junior Operations Manager,4.0,60000.0,25-34,2-4 yrs
39.0,Female,Bachelor's,Senior Marketing Coordinator,9.0,110000.0,35-44,5-9 yrs
45.0,Male,Phd,Senior Data Engineer,16.0,150000.0,45-54,15-19 yrs
32.0,Female,Bachelor's,Junior Marketing Manager,4.0,60000.0,25-34,2-4 yrs
37.0,Male,Bachelor's,Senior Financial Analyst,8.0,90000.0,35-44,5-9 yrs
47.0,Female,Master's,Director Of Marketing,20.0,180000.0,45-54,20+ yrs
30.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,25-34,2-4 yrs
38.0,Female,Bachelor's,Senior Project Manager,9.0,120000.0,35-44,5-9 yrs
46.0,Male,Phd,Senior Data Analyst,17.0,160000.0,45-54,15-19 yrs
34.0,Female,Bachelor's,Junior Financial Analyst,5.0,70000.0,25-34,5-9 yrs
36.0,Male,Bachelor's,Senior Product Manager,8.0,95000.0,35-44,5-9 yrs
49.0,Female,Master's,Director Of Operations,21.0,180000.0,45-54,20+ yrs
31.0,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0,25-34,2-4 yrs
47.0,Male,Master's,Director Of Marketing,19.0,170000.0,45-54,15-19 yrs
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0,25-34,0-1 yrs
35.0,Male,Bachelor's,Senior Financial Manager,9.0,100000.0,35-44,5-9 yrs
44.0,Female,Phd,Senior Product Designer,15.0,150000.0,35-44,15-19 yrs
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,25-34,2-4 yrs
44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0,35-44,10-14 yrs
32.0,Male,Bachelor's,Junior Product Manager,4.0,65000.0,25-34,2-4 yrs
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0,35-44,10-14 yrs
49.0,Male,Phd,Director Of Operations,21.0,180000.0,45-54,20+ yrs
29.0,Female,Bachelor's,Junior Marketing Specialist,2.0,40000.0,25-34,2-4 yrs
35.0,Male,Bachelor's,Senior Business Development Manager,7.0,90000.0,35-44,5-9 yrs
45.0,Female,Master's,Senior Hr Manager,14.0,140000.0,45-54,10-14 yrs
33.0,Male,Bachelor's,Junior Financial Analyst,4.0,60000.0,25-34,2-4 yrs
40.0,Female,Bachelor's,Senior Marketing Manager,12.0,130000.0,35-44,10-14 yrs
44.0,Male,Phd,Senior Data Scientist,16.0,160000.0,35-44,15-19 yrs
30.0,Female,Bachelor's,Junior Operations Coordinator,2.0,40000.0,25-34,2-4 yrs
37.0,Male,Bachelor's,Senior Marketing Analyst,9.0,100000.0,35-44,5-9 yrs
48.0,Female,Master's,Director Of Hr,20.0,180000.0,45-54,20+ yrs
31.0,Male,Bachelor's,Junior Project Manager,3.0,55000.0,25-34,2-4 yrs
38.0,Female,Bachelor's,Senior Operations Coordinator,9.0,120000.0,35-44,5-9 yrs
33.0,Female,Bachelor's,Junior Marketing Manager,5.0,70000.0,25-34,5-9 yrs
36.0,Male,Bachelor's,Senior Business Analyst,8.0,95000.0,35-44,5-9 yrs
42.0,Female,Bachelor's,Senior Project Manager,12.0,120000.0,35-44,10-14 yrs
34.0,Female,Master's,Senior Financial Advisor,6.0,80000.0,25-34,5-9 yrs
30.0,Female,Bachelor's,Junior Hr Coordinator,2.0,40000.0,25-34,2-4 yrs
37.0,Male,Bachelor's,Senior Business Development Manager,10.0,120000.0,35-44,10-14 yrs
45.0,Female,Master's,Senior Marketing Manager,16.0,160000.0,45-54,15-19 yrs
32.0,Male,Bachelor's,Junior Financial Advisor,4.0,65000.0,25-34,2-4 yrs
39.0,Female,Bachelor's,Senior Project Manager,12.0,130000.0,35-44,10-14 yrs
47.0,Male,Phd,Director Of Engineering,20.0,180000.0,45-54,20+ yrs
29.0,Female,Bachelor's,Junior Marketing Analyst,2.0,40000.0,25-34,2-4 yrs
36.0,Male,Bachelor's,Senior Operations Manager,9.0,100000.0,35-44,5-9 yrs
43.0,Female,Phd,Senior Data Scientist,15.0,150000.0,35-44,15-19 yrs
32.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0,25-34,2-4 yrs
48.0,Male,Master's,Director Of Marketing,21.0,180000.0,45-54,20+ yrs
31.0,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0,25-34,2-4 yrs
40.0,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0,35-44,10-14 yrs
45.0,Female,Phd,Senior Ux Designer,16.0,160000.0,45-54,15-19 yrs
33.0,Male,Bachelor's,Junior Product Manager,4.0,60000.0,25-34,2-4 yrs
36.0,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0,35-44,5-9 yrs
47.0,Male,Master's,Director Of Operations,19.0,170000.0,45-54,15-19 yrs
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0,25-34,2-4 yrs
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0,25-34,5-9 yrs
44.0,Female,Phd,Senior Business Analyst,15.0,150000.0,35-44,15-19 yrs
33.0,Male,Bachelor's,Junior Marketing Specialist,5.0,70000.0,25-34,5-9 yrs
35.0,Female,Bachelor's,Senior Financial Manager,8.0,90000.0,35-44,5-9 yrs
43.0,Male,Master's,Director Of Marketing,18.0,170000.0,35-44,15-19 yrs
31.0,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0,25-34,2-4 yrs
41.0,Male,Bachelor's,Senior Product Manager,14.0,150000.0,35-44,10-14 yrs
44.0,Female,Phd,Senior Data Engineer,16.0,160000.0,35-44,15-19 yrs
45.0,Male,Master's,Director Of Engineering,19.0,180000.0,45-54,15-19 yrs
28.0,Female,Bachelor's,Junior Operations Manager,1.0,35000.0,25-34,0-1 yrs
36.0,Male,Bachelor's,Senior Business Development Manager,8.0,110000.0,35-44,5-9 yrs
